Frequence = 10 Ghz;
N = 9084;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000450778; Faza = -151.902 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 20 mm; Y = 21 mm; Amplitude = 0.000267946; Faza = 18.6931 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 20 mm; Y = 21 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 20 mm; Y = 23 mm; Amplitude = 0.000451833; Faza = -136.702 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 20 mm; Y = 23 mm; Amplitude = 0.000291555; Faza = 33.9507 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 20 mm; Y = 23 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 20 mm; Y = 25 mm; Amplitude = 0.000448139; Faza = -121.367 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 20 mm; Y = 25 mm; Amplitude = 0.000316922; Faza = 48.307 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 20 mm; Y = 25 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 20 mm; Y = 27 mm; Amplitude = 0.000444327; Faza = -105.969 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 20 mm; Y = 27 mm; Amplitude = 0.000344998; Faza = 61.6037 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 20 mm; Y = 27 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 20 mm; Y = 29 mm; Amplitude = 0.000443706; Faza = -90.9824 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 20 mm; Y = 29 mm; Amplitude = 0.000376271; Faza = 73.6445 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 20 mm; Y = 29 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 20 mm; Y = 31 mm; Amplitude = 0.000446707; Faza = -77.0858 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 20 mm; Y = 31 mm; Amplitude = 0.000410703; Faza = 84.2865 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 20 mm; Y = 31 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 20 mm; Y = 33 mm; Amplitude = 0.000450913; Faza = -64.8659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 20 mm; Y = 33 mm; Amplitude = 0.000447912; Faza = -266.524 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 20 mm; Y = 33 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 20 mm; Y = 35 mm; Amplitude = 0.000452592; Faza = -54.6267 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 20 mm; Y = 35 mm; Amplitude = 0.000487352; Faza = -258.766 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 20 mm; Y = 35 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 20 mm; Y = 37 mm; Amplitude = 0.000448607; Faza = -46.399 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 20 mm; Y = 37 mm; Amplitude = 0.000528276; Faza = -252.387 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 20 mm; Y = 37 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 20 mm; Y = 39 mm; Amplitude = 0.000437751; Faza = -40.0414 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 20 mm; Y = 39 mm; Amplitude = 0.000569404; Faza = -247.34 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 20 mm; Y = 39 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 20 mm; Y = 41 mm; Amplitude = 0.00042127; Faza = -35.3313 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 20 mm; Y = 41 mm; Amplitude = 0.000608463; Faza = -243.58 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 20 mm; Y = 41 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 20 mm; Y = 43 mm; Amplitude = 0.000402664; Faza = -32.0327 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 20 mm; Y = 43 mm; Amplitude = 0.00064211; Faza = -240.991 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 20 mm; Y = 43 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 20 mm; Y = 45 mm; Amplitude = 0.000386606; Faza = -29.948 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 20 mm; Y = 45 mm; Amplitude = 0.00066681; Faza = -239.39 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 20 mm; Y = 45 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 20 mm; Y = 47 mm; Amplitude = 0.000377338; Faza = -28.9404 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 20 mm; Y = 47 mm; Amplitude = 0.000679868; Faza = -238.627 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 20 mm; Y = 47 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 20 mm; Y = 49 mm; Amplitude = 0; Faza = 27.3665 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 20 mm; Y = 49 mm; Amplitude = 0; Faza = 34.6635 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 20 mm; Y = 49 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 20 mm; Y = 51 mm; Amplitude = 0; Faza = 30.5226 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 20 mm; Y = 51 mm; Amplitude = 0; Faza = 28.0349 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 20 mm; Y = 51 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 20 mm; Y = 53 mm; Amplitude = 0; Faza = 30.4565 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 20 mm; Y = 53 mm; Amplitude = 0; Faza = 27.9732 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 20 mm; Y = 53 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 20 mm; Y = 55 mm; Amplitude = 0; Faza = 30.3389 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 20 mm; Y = 55 mm; Amplitude = 0; Faza = 27.8602 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 20 mm; Y = 55 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 20 mm; Y = 57 mm; Amplitude = 0; Faza = 30.1957 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 20 mm; Y = 57 mm; Amplitude = 0; Faza = 27.7156 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 20 mm; Y = 57 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 20 mm; Y = 59 mm; Amplitude = 0; Faza = 30.0573 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 20 mm; Y = 59 mm; Amplitude = 0; Faza = 27.5675 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 20 mm; Y = 59 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 29.9499 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 27.4502 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 29.8861 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 27.401 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 20 mm; Y = 65 mm; Amplitude = 0; Faza = 29.8588 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 20 mm; Y = 65 mm; Amplitude = 0; Faza = 27.4571 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 20 mm; Y = 65 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 20 mm; Y = 67 mm; Amplitude = 0; Faza = 29.8398 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 20 mm; Y = 67 mm; Amplitude = 0; Faza = 27.6508 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 20 mm; Y = 67 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 20 mm; Y = 69 mm; Amplitude = 0; Faza = 29.7848 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 20 mm; Y = 69 mm; Amplitude = 0; Faza = 28.0035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 20 mm; Y = 69 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 20 mm; Y = 71 mm; Amplitude = 0; Faza = 29.6428 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 20 mm; Y = 71 mm; Amplitude = 0; Faza = 28.5203 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 20 mm; Y = 71 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 20 mm; Y = 73 mm; Amplitude = 0; Faza = 29.3676 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 20 mm; Y = 73 mm; Amplitude = 0; Faza = 29.185 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 20 mm; Y = 73 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 20 mm; Y = 75 mm; Amplitude = 0; Faza = 28.927 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 20 mm; Y = 75 mm; Amplitude = 0; Faza = 29.9572 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
84   X = 20 mm; Y = 75 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 20 mm; Y = 77 mm; Amplitude = 0; Faza = 28.3102 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 20 mm; Y = 77 mm; Amplitude = 0; Faza = 30.7744 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 20 mm; Y = 77 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 20 mm; Y = 79 mm; Amplitude = 0; Faza = 27.5312 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 20 mm; Y = 79 mm; Amplitude = 0; Faza = 31.56 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 20 mm; Y = 79 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 20 mm; Y = 81 mm; Amplitude = 0; Faza = 26.6313 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 20 mm; Y = 81 mm; Amplitude = 0; Faza = 32.2357 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 20 mm; Y = 81 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 20 mm; Y = 83 mm; Amplitude = 0; Faza = 25.6787 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
