Frequence = 10 Ghz;
N = 8784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000265054; Faza = 159.284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 20 mm; Y = 21 mm; Amplitude = 8.67953e-005; Faza = -58.9795 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 20 mm; Y = 21 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 20 mm; Y = 23 mm; Amplitude = 0.00026763; Faza = 178.464 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 20 mm; Y = 23 mm; Amplitude = 9.34729e-005; Faza = -41.5154 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 20 mm; Y = 23 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 20 mm; Y = 25 mm; Amplitude = 0.000264027; Faza = -161.561 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 20 mm; Y = 25 mm; Amplitude = 9.76433e-005; Faza = -23.8744 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 20 mm; Y = 25 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 20 mm; Y = 27 mm; Amplitude = 0.000257321; Faza = -140.277 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 20 mm; Y = 27 mm; Amplitude = 9.95056e-005; Faza = -5.51535 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 20 mm; Y = 27 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 20 mm; Y = 29 mm; Amplitude = 0.000251459; Faza = -117.63 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 20 mm; Y = 29 mm; Amplitude = 9.97894e-005; Faza = 13.895 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 20 mm; Y = 29 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 20 mm; Y = 31 mm; Amplitude = 0.000249445; Faza = -94.1557 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 20 mm; Y = 31 mm; Amplitude = 9.94891e-005; Faza = 34.4253 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 20 mm; Y = 31 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 20 mm; Y = 33 mm; Amplitude = 0.000251694; Faza = -70.7129 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 20 mm; Y = 33 mm; Amplitude = 9.95212e-005; Faza = 55.8561 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 20 mm; Y = 33 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 20 mm; Y = 35 mm; Amplitude = 0.000256074; Faza = -47.9105 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 20 mm; Y = 35 mm; Amplitude = 0.000100411; Faza = 77.742 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 20 mm; Y = 35 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 20 mm; Y = 37 mm; Amplitude = 0.000259576; Faza = -25.7944 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 20 mm; Y = 37 mm; Amplitude = 0.000102119; Faza = -260.407 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 20 mm; Y = 37 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 20 mm; Y = 39 mm; Amplitude = 0.000260071; Faza = -3.97772 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 20 mm; Y = 39 mm; Amplitude = 0.000104069; Faza = -238.891 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 20 mm; Y = 39 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 20 mm; Y = 41 mm; Amplitude = 0.000257188; Faza = 18.0803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 20 mm; Y = 41 mm; Amplitude = 0.000105528; Faza = -217.678 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 20 mm; Y = 41 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 20 mm; Y = 43 mm; Amplitude = 0.000252265; Faza = 40.8225 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 20 mm; Y = 43 mm; Amplitude = 0.000106058; Faza = -196.504 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 20 mm; Y = 43 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 20 mm; Y = 45 mm; Amplitude = 0.00024756; Faza = 64.3994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 20 mm; Y = 45 mm; Amplitude = 0.000105677; Faza = -175.068 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 20 mm; Y = 45 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 20 mm; Y = 47 mm; Amplitude = 0.000245057; Faza = 88.5834 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 20 mm; Y = 47 mm; Amplitude = 0.000104771; Faza = -153.155 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 20 mm; Y = 47 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 20 mm; Y = 49 mm; Amplitude = 0.000245394; Faza = 112.895 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 20 mm; Y = 49 mm; Amplitude = 0.000103915; Faza = -130.725 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 20 mm; Y = 49 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 20 mm; Y = 51 mm; Amplitude = 0.000247646; Faza = 136.918 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 20 mm; Y = 51 mm; Amplitude = 0.000103579; Faza = -107.973 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 20 mm; Y = 51 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 20 mm; Y = 53 mm; Amplitude = 0.000250112; Faza = 160.539 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 20 mm; Y = 53 mm; Amplitude = 0.000103847; Faza = -85.2239 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 20 mm; Y = 53 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 20 mm; Y = 55 mm; Amplitude = 0.000251376; Faza = -176.059 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 20 mm; Y = 55 mm; Amplitude = 0.000104375; Faza = -62.7476 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 20 mm; Y = 55 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 20 mm; Y = 57 mm; Amplitude = 0.000250989; Faza = -152.546 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 20 mm; Y = 57 mm; Amplitude = 0.000104536; Faza = -40.5969 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 20 mm; Y = 57 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 20 mm; Y = 59 mm; Amplitude = 0.000249581; Faza = -128.621 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 20 mm; Y = 59 mm; Amplitude = 0.000103792; Faza = -18.5535 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 20 mm; Y = 59 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 20 mm; Y = 61 mm; Amplitude = 0.000248512; Faza = -104.154 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 20 mm; Y = 61 mm; Amplitude = 0.000102037; Faza = 3.74766 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 20 mm; Y = 63 mm; Amplitude = 0.000249204; Faza = -79.2431 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 20 mm; Y = 63 mm; Amplitude = 9.96722e-005; Faza = 26.6586 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 20 mm; Y = 65 mm; Amplitude = 0.000252503; Faza = -54.1831 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 20 mm; Y = 65 mm; Amplitude = 9.74767e-005; Faza = 50.3312 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 20 mm; Y = 65 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 20 mm; Y = 67 mm; Amplitude = 0.000258294; Faza = -29.3176 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 20 mm; Y = 67 mm; Amplitude = 9.62299e-005; Faza = 74.5418 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 20 mm; Y = 67 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 20 mm; Y = 69 mm; Amplitude = 0.000265592; Faza = -4.86474 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 20 mm; Y = 69 mm; Amplitude = 9.61897e-005; Faza = -261.256 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 20 mm; Y = 69 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 20 mm; Y = 71 mm; Amplitude = 0.000273035; Faza = 19.169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 20 mm; Y = 71 mm; Amplitude = 9.6855e-005; Faza = -237.593 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 20 mm; Y = 71 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 20 mm; Y = 73 mm; Amplitude = 0.000279491; Faza = 42.9675 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 20 mm; Y = 73 mm; Amplitude = 9.72107e-005; Faza = -214.651 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 20 mm; Y = 73 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 20 mm; Y = 75 mm; Amplitude = 0.00028458; Faza = 66.8193 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 20 mm; Y = 75 mm; Amplitude = 9.62448e-005; Faza = -192.164 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
