Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00286564; Faza = -42.1737 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 200 mm; Y = 210 mm; Amplitude = 0.00280517; Faza = -225.781 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 200 mm; Y = 210 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 200 mm; Y = 230 mm; Amplitude = 0.00316588; Faza = -37.859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 200 mm; Y = 230 mm; Amplitude = 0.00309063; Faza = -221.779 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 200 mm; Y = 230 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 200 mm; Y = 250 mm; Amplitude = 0.0034708; Faza = -34.5343 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 200 mm; Y = 250 mm; Amplitude = 0.00337842; Faza = -218.645 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 200 mm; Y = 250 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 200 mm; Y = 270 mm; Amplitude = 0.00377476; Faza = -31.9902 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 200 mm; Y = 270 mm; Amplitude = 0.00366405; Faza = -216.194 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 200 mm; Y = 270 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 200 mm; Y = 290 mm; Amplitude = 0.00407351; Faza = -30.0693 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 200 mm; Y = 290 mm; Amplitude = 0.00394414; Faza = -214.289 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 200 mm; Y = 290 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 200 mm; Y = 310 mm; Amplitude = 0.00436382; Faza = -28.6537 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 200 mm; Y = 310 mm; Amplitude = 0.00421611; Faza = -212.831 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 200 mm; Y = 310 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 200 mm; Y = 330 mm; Amplitude = 0.00464321; Faza = -27.6541 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
