Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00146745; Faza = 55.0035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 200 mm; Y = 210 mm; Amplitude = 0.00126625; Faza = -127.157 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 200 mm; Y = 210 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 200 mm; Y = 230 mm; Amplitude = 0.00160169; Faza = 60.5239 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 200 mm; Y = 230 mm; Amplitude = 0.00137774; Faza = -122.022 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 200 mm; Y = 230 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 200 mm; Y = 250 mm; Amplitude = 0.00173204; Faza = 65.1413 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 200 mm; Y = 250 mm; Amplitude = 0.00148448; Faza = -117.664 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 200 mm; Y = 250 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 200 mm; Y = 270 mm; Amplitude = 0.00185434; Faza = 69.064 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 200 mm; Y = 270 mm; Amplitude = 0.0015835; Faza = -113.897 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 200 mm; Y = 270 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 200 mm; Y = 290 mm; Amplitude = 0.00196522; Faza = 72.4525 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 200 mm; Y = 290 mm; Amplitude = 0.00167241; Faza = -110.585 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 200 mm; Y = 290 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 200 mm; Y = 310 mm; Amplitude = 0.00206198; Faza = 75.4307 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 200 mm; Y = 310 mm; Amplitude = 0.00174927; Faza = -107.621 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 200 mm; Y = 310 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 200 mm; Y = 330 mm; Amplitude = 0.00214242; Faza = 78.0958 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 200 mm; Y = 330 mm; Amplitude = 0.00181251; Faza = -104.923 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 200 mm; Y = 330 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 200 mm; Y = 350 mm; Amplitude = 0.00220483; Faza = 80.5256 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 200 mm; Y = 350 mm; Amplitude = 0.00186092; Faza = -102.422 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 200 mm; Y = 350 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 200 mm; Y = 370 mm; Amplitude = 0.00224795; Faza = 82.7844 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 200 mm; Y = 370 mm; Amplitude = 0.00189359; Faza = -100.061 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 200 mm; Y = 370 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 200 mm; Y = 390 mm; Amplitude = 0.00227088; Faza = 84.9274 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 200 mm; Y = 390 mm; Amplitude = 0.00190994; Faza = -97.7913 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 200 mm; Y = 390 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 200 mm; Y = 410 mm; Amplitude = 0.00227317; Faza = 87.0045 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 200 mm; Y = 410 mm; Amplitude = 0.00190967; Faza = -95.5659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 200 mm; Y = 410 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 200 mm; Y = 430 mm; Amplitude = 0.00225471; Faza = 89.0628 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 200 mm; Y = 430 mm; Amplitude = 0.00189277; Faza = -93.3401 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 200 mm; Y = 430 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 200 mm; Y = 450 mm; Amplitude = 0.00221578; Faza = 91.1501 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 200 mm; Y = 450 mm; Amplitude = 0.00185954; Faza = -91.0676 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 200 mm; Y = 450 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 200 mm; Y = 470 mm; Amplitude = 0.00215704; Faza = 93.3171 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 200 mm; Y = 470 mm; Amplitude = 0.00181058; Faza = -88.6982 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 200 mm; Y = 470 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 200 mm; Y = 490 mm; Amplitude = 0.00207952; Faza = 95.6214 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 200 mm; Y = 490 mm; Amplitude = 0.00174676; Faza = -86.1742 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 200 mm; Y = 490 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 200 mm; Y = 510 mm; Amplitude = 0.00198467; Faza = 98.132 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
